Sample,P-22-20006,P-21-20045,R-21-10099,R-21-10111,P-21-20135,P-21-20119,P-22-20227,UW15953O,R-21-10122,P-21-20167,P-22-20168,UW15993L,UW15993O,UW15977O,R-22-10139,P-22-20198,UW15970L,P-22-20282,R-22-10209,V-21-40001,V-21-40015,V-21-40005,UW15939L,R-21-10052,R-21-10091,P-21-20120,P-21-20116,UW16057L
P-22-20006,1,-0.164637808,-0.191179464,-0.183366908,-0.12397915,-0.152275565,-0.181954394,0.066436973,0.004748368,0.023626761,0.034805024,0.034645735,0.004406336,0.934995297,-0.184012115,-0.176301941,-0.166236339,-0.1593581,-0.177316368,-0.205040387,-0.214157943,-0.183296268,-0.090798278,0.00029527,-0.099227819,0.033761836,0.15804518,-0.003683469
P-21-20045,-0.164637808,1,-0.234269764,-0.196380418,-0.156347492,0.013340938,-0.225518422,0.023666838,-0.282347435,-0.084487483,-0.046064679,-0.206960711,-0.233788982,-0.276916783,0.001986208,0.006857114,-0.240164531,-0.207110319,-0.229797234,-0.266067708,-0.302547514,-0.247126858,-0.156935005,-0.074885371,-0.150770955,-0.200082368,-0.148461763,-0.028318356
R-21-10099,-0.191179464,-0.234269764,1,-0.233758236,-0.08241706,-0.253808609,-0.258004941,-0.009175713,-0.170004589,-0.377698696,-0.083872648,-0.26097664,-0.406851352,-0.35831182,0.01517343,-0.057835002,-0.140054621,-0.248507652,-0.248223639,-0.130179572,-0.372493139,-0.317592183,-0.168170383,-0.357732122,-0.184267204,-0.247435189,-0.1508154,-0.379221379
R-21-10111,-0.183366908,-0.196380418,-0.233758236,1,0.579069541,-0.139008763,0.048150482,-0.192039385,-0.208531871,-0.207616814,-0.216091766,-0.069773982,-0.193498403,-0.271430754,-0.226337682,-0.22601011,-0.235084975,-0.138802414,-0.159672607,-0.194000935,-0.209657699,-0.177749789,-0.16324725,-0.260051381,-0.175256817,-0.154175996,-0.160245149,-0.312951763
P-21-20135,-0.12397915,-0.156347492,-0.08241706,0.579069541,1,-0.163248158,-0.005152535,-0.124408422,-0.165600105,0.016677667,-0.119704797,0.318045636,0.219818468,-0.16130655,-0.131101833,-0.131956331,-0.159785779,-0.155685848,-0.151423803,-0.127643496,-0.132322392,-0.174726666,-0.129093051,-0.149142624,-0.154335154,-0.115612585,-0.083295159,-0.116887005
P-21-20119,-0.152275565,0.013340938,-0.253808609,-0.139008763,-0.163248158,1,-0.223178019,-0.051168779,-0.276982091,-0.155494971,0.060024681,-0.211631014,-0.270648979,-0.283982874,-0.087047316,-0.07895011,-0.261970607,-0.227691846,-0.252425292,-0.27124105,-0.31124007,-0.269614312,-0.159021486,-0.148118046,0.151946836,0.158272804,-0.08141433,-0.184854973
P-22-20227,-0.181954394,-0.225518422,-0.258004941,0.048150482,-0.005152535,-0.223178019,1,-0.202628976,-0.233841581,-0.29774055,-0.232699997,-0.233449769,-0.330261149,-0.276852956,-0.25474819,-0.23638846,-0.239703274,-0.220442859,-0.25312865,-0.294528867,-0.303273093,-0.262971665,-0.144751481,-0.290594411,-0.19456591,-0.180119703,-0.147332429,-0.32476743
UW15953O,0.066436973,0.023666838,-0.009175713,-0.192039385,-0.124408422,-0.051168779,-0.202628976,1,0.180489985,0.165928933,0.215921294,0.007710568,0.016621464,-0.030759915,0.081398763,0.050950902,-0.038878267,-0.200415481,-0.220318642,-0.016739368,-0.248862538,-0.230865491,-0.141270186,0.14860629,-0.15384478,0.006557474,0.116749602,0.151737401
R-21-10122,0.004748368,-0.282347435,-0.170004589,-0.208531871,-0.165600105,-0.276982091,-0.233841581,0.180489985,1,-0.263491555,-0.120944155,-0.099808961,-0.383976875,-0.285517429,-0.25911827,-0.280478908,-0.210300022,-0.311921537,-0.339315971,-0.225553598,-0.489548116,-0.416799896,-0.153661507,-0.318968545,-0.191903891,-0.08029329,0.077666523,-0.198747335
P-21-20167,0.023626761,-0.084487483,-0.377698696,-0.207616814,0.016677667,-0.155494971,-0.29774055,0.165928933,-0.263491555,1,0.111176456,0.103565245,-0.085524783,-0.238243135,-0.093051907,-0.062313444,-0.382943471,-0.301041748,-0.33567388,-0.415924055,-0.432730345,-0.399852167,-0.184325077,-0.070405676,-0.189209281,-0.056425185,0.088062055,0.121879745
P-22-20168,0.034805024,-0.046064679,-0.083872648,-0.216091766,-0.119704797,0.060024681,-0.232699997,0.215921294,-0.120944155,0.111176456,1,-0.020330917,-0.035080107,-0.099410975,0.206813045,0.16808292,-0.256815128,-0.220072031,-0.239382498,-0.284166444,-0.324921765,-0.26393523,-0.146572549,0.072972572,-0.151795129,-0.027503499,0.089460116,0.091715063
UW15993L,0.034645735,-0.206960711,-0.26097664,-0.069773982,0.318045636,-0.211631014,-0.233449769,0.007710568,-0.099808961,0.103565245,-0.020330917,1,0.963946778,-0.088239356,-0.174892149,-0.175458649,-0.244538972,-0.214946918,-0.244946741,-0.171451732,-0.271951424,-0.265690608,-0.149183892,-0.105484275,-0.146391172,-0.019992861,0.09798792,0.007425295
UW15993O,0.004406336,-0.233788982,-0.406851352,-0.193498403,0.219818468,-0.270648979,-0.330261149,0.016621464,-0.383976875,-0.085524783,-0.035080107,0.963946778,1,-0.345767033,-0.145994255,-0.174862311,-0.421318069,-0.335072346,-0.373369625,-0.34496849,-0.533324156,-0.468759957,-0.191765441,-0.335286365,-0.189911994,-0.105092389,0.074943395,-0.084944397
UW15977O,0.934995297,-0.276916783,-0.35831182,-0.271430754,-0.16130655,-0.283982874,-0.276852956,-0.030759915,-0.285517429,-0.238243135,-0.099410975,-0.088239356,-0.345767033,1,-0.291431736,-0.287688436,-0.34940659,-0.28633502,-0.319419786,-0.397301952,-0.467516367,-0.382277847,-0.160998601,-0.26457578,-0.152230179,-0.084056101,0.074898378,-0.185269124
R-22-10139,-0.184012115,0.001986208,0.01517343,-0.226337682,-0.131101833,-0.087047316,-0.25474819,0.081398763,-0.25911827,-0.093051907,0.206813045,-0.174892149,-0.145994255,-0.291431736,1,0.953691618,-0.220424545,-0.235591624,-0.262453202,-0.210259206,-0.326315385,-0.275025589,-0.167890394,-0.074337303,-0.176505689,-0.220544004,-0.16132469,-0.110269345
P-22-20198,-0.176301941,0.006857114,-0.057835002,-0.22601011,-0.131956331,-0.07895011,-0.23638846,0.050950902,-0.280478908,-0.062313444,0.16808292,-0.175458649,-0.174862311,-0.287688436,0.953691618,1,-0.237574278,-0.2205703,-0.244964767,-0.255299149,-0.315233155,-0.271143784,-0.163516565,-0.063922406,-0.167458778,-0.217756488,-0.152890544,-0.087948271
UW15970L,-0.166236339,-0.240164531,-0.140054621,-0.235084975,-0.159785779,-0.261970607,-0.239703274,-0.038878267,-0.210300022,-0.382943471,-0.256815128,-0.244538972,-0.421318069,-0.34940659,-0.220424545,-0.237574278,1,-0.248711499,-0.285059143,-0.151869866,-0.369339951,-0.321323002,0.041063636,-0.365852942,-0.146577141,-0.240809558,0.124385507,-0.353442052
P-22-20282,-0.1593581,-0.207110319,-0.248507652,-0.138802414,-0.155685848,-0.227691846,-0.220442859,-0.200415481,-0.311921537,-0.301041748,-0.220072031,-0.214946918,-0.335072346,-0.28633502,-0.235591624,-0.2205703,-0.248711499,1,0.851724352,0.154715446,0.234064096,0.249034582,-0.153477194,-0.295457643,-0.166341241,-0.21183298,-0.067944043,-0.31146014
R-22-10209,-0.177316368,-0.229797234,-0.248223639,-0.159672607,-0.151423803,-0.252425292,-0.25312865,-0.220318642,-0.339315971,-0.33567388,-0.239382498,-0.244946741,-0.373369625,-0.319419786,-0.262453202,-0.244964767,-0.285059143,0.851724352,1,0.162417926,0.231383378,0.237641033,-0.16762327,-0.329476948,-0.184310555,-0.236731151,-0.094372896,-0.347384518
V-21-40001,-0.205040387,-0.266067708,-0.130179572,-0.194000935,-0.127643496,-0.27124105,-0.294528867,-0.016739368,-0.225553598,-0.415924055,-0.284166444,-0.171451732,-0.34496849,-0.397301952,-0.210259206,-0.255299149,-0.151869866,0.154715446,0.162417926,1,0.360184998,0.281240694,-0.16841073,-0.415563307,-0.208122043,-0.26979276,-0.170443039,-0.402364507
V-21-40015,-0.214157943,-0.302547514,-0.372493139,-0.209657699,-0.132322392,-0.31124007,-0.303273093,-0.248862538,-0.489548116,-0.432730345,-0.324921765,-0.271951424,-0.533324156,-0.467516367,-0.326315385,-0.315233155,-0.369339951,0.234064096,0.231383378,0.360184998,1,0.47894381,-0.197340789,-0.470942961,-0.214076748,-0.293446621,-0.136122614,-0.417731162
V-21-40005,-0.183296268,-0.247126858,-0.317592183,-0.177749789,-0.174726666,-0.269614312,-0.262971665,-0.230865491,-0.416799896,-0.399852167,-0.26393523,-0.265690608,-0.468759957,-0.382277847,-0.275025589,-0.271143784,-0.321323002,0.249034582,0.237641033,0.281240694,0.47894381,1,-0.171770515,-0.403606953,-0.183464278,-0.26149374,-0.103194285,-0.375975654
UW15939L,-0.090798278,-0.156935005,-0.168170383,-0.16324725,-0.129093051,-0.159021486,-0.144751481,-0.141270186,-0.153661507,-0.184325077,-0.146572549,-0.149183892,-0.191765441,-0.160998601,-0.167890394,-0.163516565,0.041063636,-0.153477194,-0.16762327,-0.16841073,-0.197340789,-0.171770515,1,-0.134941882,-0.108155552,-0.148958688,0.176592258,-0.21423412
R-21-10052,0.00029527,-0.074885371,-0.357732122,-0.260051381,-0.149142624,-0.148118046,-0.290594411,0.14860629,-0.318968545,-0.070405676,0.072972572,-0.105484275,-0.335286365,-0.26457578,-0.074337303,-0.063922406,-0.365852942,-0.295457643,-0.329476948,-0.415563307,-0.470942961,-0.403606953,-0.134941882,1,-0.176847575,-0.09677271,0.191179779,-0.009222076
R-21-10091,-0.099227819,-0.150770955,-0.184267204,-0.175256817,-0.154335154,0.151946836,-0.19456591,-0.15384478,-0.191903891,-0.189209281,-0.151795129,-0.146391172,-0.189911994,-0.152230179,-0.176505689,-0.167458778,-0.146577141,-0.166341241,-0.184310555,-0.208122043,-0.214076748,-0.183464278,-0.108155552,-0.176847575,1,-0.089759058,-0.047261338,-0.226412784
P-21-20120,0.033761836,-0.200082368,-0.247435189,-0.154175996,-0.115612585,0.158272804,-0.180119703,0.006557474,-0.08029329,-0.056425185,-0.027503499,-0.019992861,-0.105092389,-0.084056101,-0.220544004,-0.217756488,-0.240809558,-0.21183298,-0.236731151,-0.26979276,-0.293446621,-0.26149374,-0.148958688,-0.09677271,-0.089759058,1,0.07626381,-0.086596863
P-21-20116,0.15804518,-0.148461763,-0.1508154,-0.160245149,-0.083295159,-0.08141433,-0.147332429,0.116749602,0.077666523,0.088062055,0.089460116,0.09798792,0.074943395,0.074898378,-0.16132469,-0.152890544,0.124385507,-0.067944043,-0.094372896,-0.170443039,-0.136122614,-0.103194285,0.176592258,0.191179779,-0.047261338,0.07626381,1,0.050742079
UW16057L,-0.003683469,-0.028318356,-0.379221379,-0.312951763,-0.116887005,-0.184854973,-0.32476743,0.151737401,-0.198747335,0.121879745,0.091715063,0.007425295,-0.084944397,-0.185269124,-0.110269345,-0.087948271,-0.353442052,-0.31146014,-0.347384518,-0.402364507,-0.417731162,-0.375975654,-0.21423412,-0.009222076,-0.226412784,-0.086596863,0.050742079,1